campaign_id,campaign_name,campaign_family,campaign_type,business_goal,offer_description,spend_category_focus,target_segments,excluded_segments,risk_level,risk_sensitivity,cost_per_customer,expected_lift_pct,response_rate_assumption,primary_success_metric,guardrail_notes,recommended_rollout,max_default_probability,max_utilization,min_credit_score,allow_high_utilization,client_editable,active_flag
CMP063,Selective Line Growth Test,Credit Line Strategy,Credit Line Review,Increase card usage capacity for strong customers while managing risk exposure.,Small test of line increase review among safest customers.,Credit Line,Loyal High-Value Customer; Premium Growth Candidate; Underused Low-Risk Customer,Risk Watch; High-Utilization Revolver,High,Very High,9.56,0.1232,0.0428,Spend lift without risk deterioration,"Require strong credit profile, stable utilization, low default probability, and no recent late payments.",Test first with strict guardrails; Scale only after validation.,0.03,0.45,700,No,Yes,Yes
CMP064,Relationship-Based Line Review,Credit Line Strategy,Credit Line Review,Increase card usage capacity for strong customers while managing risk exposure.,Review long-tenure profitable customers for capacity growth.,Credit Line,Loyal High-Value Customer; Premium Growth Candidate; Underused Low-Risk Customer,Risk Watch; High-Utilization Revolver,High,Very High,9.79,0.11,0.04,Spend lift without risk deterioration,"Require strong credit profile, stable utilization, low default probability, and no recent late payments.",Test first with strict guardrails; Scale only after validation.,0.03,0.45,700,No,Yes,Yes
CMP065,High-Utilization Balance Health,Balance Health,Protective Engagement,Reduce credit stress while maintaining customer engagement.,Send balance health messaging and payment reminders.,Risk Prevention,High-Utilization Revolver; Core Customer,,Protective,Protective,2.28,0.0208,0.0963,Utilization reduction and repayment stability,This is not a spend-growth campaign. It is a protective engagement campaign.,Scale for eligible customers; Test messaging variants.,0.16,1.0,560,Yes,Yes,Yes
CMP066,Autopay Reminder Campaign,Balance Health,Protective Engagement,Reduce credit stress while maintaining customer engagement.,Encourage autopay setup for repayment stability.,Servicing,High-Utilization Revolver; Core Customer,,Protective,Protective,2.34,0.0216,0.09,Utilization reduction and repayment stability,This is not a spend-growth campaign. It is a protective engagement campaign.,Scale for eligible customers; Test messaging variants.,0.16,1.0,560,Yes,Yes,Yes
CMP067,Payment Due Reminder Test,Balance Health,Protective Engagement,Reduce credit stress while maintaining customer engagement.,Test payment reminder messaging for higher utilization customers.,Servicing,High-Utilization Revolver; Core Customer,,Protective,Protective,2.41,0.0224,0.0931,Utilization reduction and repayment stability,This is not a spend-growth campaign. It is a protective engagement campaign.,Scale for eligible customers; Test messaging variants.,0.16,1.0,560,Yes,Yes,Yes
CMP068,Budgeting Support Message,Balance Health,Protective Engagement,Reduce credit stress while maintaining customer engagement.,Send budgeting and balance management education.,Education,High-Utilization Revolver; Core Customer,,Protective,Protective,2.47,0.02,0.0963,Utilization reduction and repayment stability,This is not a spend-growth campaign. It is a protective engagement campaign.,Scale for eligible customers; Test messaging variants.,0.16,1.0,560,Yes,Yes,Yes
CMP069,Utilization Awareness Message,Balance Health,Protective Engagement,Reduce credit stress while maintaining customer engagement.,Explain utilization impact and balance management.,Education,High-Utilization Revolver; Core Customer,,Protective,Protective,2.53,0.0208,0.09,Utilization reduction and repayment stability,This is not a spend-growth campaign. It is a protective engagement campaign.,Scale for eligible customers; Test messaging variants.,0.16,1.0,560,Yes,Yes,Yes
CMP070,Minimum Payment Education,Balance Health,Protective Engagement,Reduce credit stress while maintaining customer engagement.,Educate customers on repayment behavior and interest impact.,Education,High-Utilization Revolver; Core Customer,,Protective,Protective,2.59,0.0216,0.0931,Utilization reduction and repayment stability,This is not a spend-growth campaign. It is a protective engagement campaign.,Scale for eligible customers; Test messaging variants.,0.16,1.0,560,Yes,Yes,Yes
CMP071,High Balance Digital Nudges,Balance Health,Protective Engagement,Reduce credit stress while maintaining customer engagement.,Send digital nudges for balance and payment management.,Digital,High-Utilization Revolver; Core Customer,,Protective,Protective,2.66,0.0224,0.0963,Utilization reduction and repayment stability,This is not a spend-growth campaign. It is a protective engagement campaign.,Scale for eligible customers; Test messaging variants.,0.16,1.0,560,Yes,Yes,Yes
CMP072,Payment Flexibility Awareness,Balance Health,Protective Engagement,Reduce credit stress while maintaining customer engagement.,Inform selected customers about payment planning tools.,Servicing,High-Utilization Revolver; Core Customer,,Protective,Protective,2.72,0.02,0.09,Utilization reduction and repayment stability,This is not a spend-growth campaign. It is a protective engagement campaign.,Scale for eligible customers; Test messaging variants.,0.16,1.0,560,Yes,Yes,Yes
CMP073,Premium Retention Campaign,Retention and Loyalty,Retention,Retain and deepen relationships with profitable high-value customers.,Provide bonus rewards or statement credit for selected high-value customers.,Retention,Loyal High-Value Customer; Premium Growth Candidate,Risk Watch,Low-Medium,Medium,13.69,0.0832,0.0642,Retention and spend stability,Prioritize positive risk-adjusted profit and strong engagement.,Scale for low-risk customers; Test moderate-risk or uncertain groups.,0.07,0.78,630,No,Yes,Yes
CMP074,Anniversary Loyalty Bonus,Retention and Loyalty,Retention,Retain and deepen relationships with profitable high-value customers.,Offer bonus rewards around relationship anniversary.,Retention,Loyal High-Value Customer; Premium Growth Candidate,Risk Watch,Low-Medium,Medium,14.06,0.0864,0.06,Retention and spend stability,Prioritize positive risk-adjusted profit and strong engagement.,Scale for low-risk customers; Test moderate-risk or uncertain groups.,0.07,0.78,630,No,Yes,Yes
CMP075,High-Value Spend Bonus,Retention and Loyalty,Retention,Retain and deepen relationships with profitable high-value customers.,Offer bonus rewards after reaching a spend threshold.,Retention,Loyal High-Value Customer; Premium Growth Candidate,Risk Watch,Low-Medium,Medium,14.44,0.0896,0.0621,Retention and spend stability,Prioritize positive risk-adjusted profit and strong engagement.,Scale for low-risk customers; Test moderate-risk or uncertain groups.,0.07,0.78,630,No,Yes,Yes
CMP076,Premium Experience Benefit,Retention and Loyalty,Retention,Retain and deepen relationships with profitable high-value customers.,Offer experience benefits to premium customers.,Retention,Loyal High-Value Customer; Premium Growth Candidate,Risk Watch,Low-Medium,Medium,14.81,0.08,0.0642,Retention and spend stability,Prioritize positive risk-adjusted profit and strong engagement.,Scale for low-risk customers; Test moderate-risk or uncertain groups.,0.07,0.78,630,No,Yes,Yes
CMP077,Relationship Deepening Offer,Retention and Loyalty,Retention,Retain and deepen relationships with profitable high-value customers.,Encourage multi-category card engagement.,Retention,Loyal High-Value Customer; Premium Growth Candidate,Risk Watch,Low-Medium,Medium,15.19,0.0832,0.06,Retention and spend stability,Prioritize positive risk-adjusted profit and strong engagement.,Scale for low-risk customers; Test moderate-risk or uncertain groups.,0.07,0.78,630,No,Yes,Yes
CMP078,High-Value Merchant Perk,Retention and Loyalty,Retention,Retain and deepen relationships with profitable high-value customers.,Offer selected high-value merchant benefits.,Retention,Loyal High-Value Customer; Premium Growth Candidate,Risk Watch,Low-Medium,Medium,15.56,0.0864,0.0621,Retention and spend stability,Prioritize positive risk-adjusted profit and strong engagement.,Scale for low-risk customers; Test moderate-risk or uncertain groups.,0.07,0.78,630,No,Yes,Yes
CMP079,Card Upgrade Interest Test,Retention and Loyalty,Retention,Retain and deepen relationships with profitable high-value customers.,Test interest in premium card upgrade pathways.,Retention,Loyal High-Value Customer; Premium Growth Candidate,Risk Watch,Low-Medium,Medium,15.94,0.0896,0.0642,Retention and spend stability,Prioritize positive risk-adjusted profit and strong engagement.,Scale for low-risk customers; Test moderate-risk or uncertain groups.,0.07,0.78,630,No,Yes,Yes
CMP080,Loyalty Statement Credit,Retention and Loyalty,Retention,Retain and deepen relationships with profitable high-value customers.,Offer statement credit to selected profitable customers.,Retention,Loyal High-Value Customer; Premium Growth Candidate,Risk Watch,Low-Medium,Medium,16.31,0.08,0.06,Retention and spend stability,Prioritize positive risk-adjusted profit and strong engagement.,Scale for low-risk customers; Test moderate-risk or uncertain groups.,0.07,0.78,630,No,Yes,Yes
CMP081,Autopay and Paperless Enrollment,Servicing and Enrollment,Servicing Engagement,"Improve repayment stability, digital servicing, and lower friction.",Offer a small reward for enrolling in autopay or paperless statements.,Servicing,Core Customer; High-Utilization Revolver; Dormant but Recoverable; Underused Low-Risk Customer,,Low,Low,1.82,0.0312,0.1177,Enrollment and servicing adoption,Useful for risk prevention and servicing. Not primarily a spend-growth campaign.,Scale for eligible customers; Test messaging variants.,0.1,0.9,600,No,Yes,Yes
CMP082,Paperless Statement Campaign,Servicing and Enrollment,Servicing Engagement,"Improve repayment stability, digital servicing, and lower friction.",Encourage paperless statement enrollment.,Servicing,Core Customer; High-Utilization Revolver; Dormant but Recoverable; Underused Low-Risk Customer,,Low,Low,1.88,0.0324,0.11,Enrollment and servicing adoption,Useful for risk prevention and servicing. Not primarily a spend-growth campaign.,Scale for eligible customers; Test messaging variants.,0.1,0.9,600,No,Yes,Yes
CMP083,Autopay Setup Campaign,Servicing and Enrollment,Servicing Engagement,"Improve repayment stability, digital servicing, and lower friction.",Encourage autopay enrollment.,Servicing,Core Customer; High-Utilization Revolver; Dormant but Recoverable; Underused Low-Risk Customer,,Low,Low,1.93,0.0336,0.1138,Enrollment and servicing adoption,Useful for risk prevention and servicing. Not primarily a spend-growth campaign.,Scale for eligible customers; Test messaging variants.,0.1,0.9,600,No,Yes,Yes
CMP084,Payment Alert Setup,Servicing and Enrollment,Servicing Engagement,"Improve repayment stability, digital servicing, and lower friction.",Encourage payment reminders and alerts.,Servicing,Core Customer; High-Utilization Revolver; Dormant but Recoverable; Underused Low-Risk Customer,,Low,Low,1.98,0.03,0.1177,Enrollment and servicing adoption,Useful for risk prevention and servicing. Not primarily a spend-growth campaign.,Scale for eligible customers; Test messaging variants.,0.1,0.9,600,No,Yes,Yes
CMP085,Fraud Alert Enrollment,Servicing and Enrollment,Servicing Engagement,"Improve repayment stability, digital servicing, and lower friction.",Encourage fraud alert and account security enrollment.,Servicing,Core Customer; High-Utilization Revolver; Dormant but Recoverable; Underused Low-Risk Customer,,Low,Low,2.02,0.0312,0.11,Enrollment and servicing adoption,Useful for risk prevention and servicing. Not primarily a spend-growth campaign.,Scale for eligible customers; Test messaging variants.,0.1,0.9,600,No,Yes,Yes
CMP086,Profile Completion Campaign,Servicing and Enrollment,Servicing Engagement,"Improve repayment stability, digital servicing, and lower friction.",Encourage customers to complete account profile details.,Servicing,Core Customer; High-Utilization Revolver; Dormant but Recoverable; Underused Low-Risk Customer,,Low,Low,2.08,0.0324,0.1138,Enrollment and servicing adoption,Useful for risk prevention and servicing. Not primarily a spend-growth campaign.,Scale for eligible customers; Test messaging variants.,0.1,0.9,600,No,Yes,Yes
CMP087,Communication Preference Update,Servicing and Enrollment,Servicing Engagement,"Improve repayment stability, digital servicing, and lower friction.",Encourage customers to update preferred communication channels.,Servicing,Core Customer; High-Utilization Revolver; Dormant but Recoverable; Underused Low-Risk Customer,,Low,Low,2.12,0.0336,0.1177,Enrollment and servicing adoption,Useful for risk prevention and servicing. Not primarily a spend-growth campaign.,Scale for eligible customers; Test messaging variants.,0.1,0.9,600,No,Yes,Yes
CMP088,Account Health Check,Servicing and Enrollment,Servicing Engagement,"Improve repayment stability, digital servicing, and lower friction.",Encourage customers to review account health and settings.,Servicing,Core Customer; High-Utilization Revolver; Dormant but Recoverable; Underused Low-Risk Customer,,Low,Low,2.17,0.03,0.11,Enrollment and servicing adoption,Useful for risk prevention and servicing. Not primarily a spend-growth campaign.,Scale for eligible customers; Test messaging variants.,0.1,0.9,600,No,Yes,Yes
CMP089,First Year Engagement Offer,New-to-Credit and Student,Early Relationship,Build healthy early card behavior and engagement.,Encourage healthy spend habits in the first year.,Education,Underused Low-Risk Customer; Core Customer,Risk Watch; High-Utilization Revolver,Medium,Medium,4.11,0.0416,0.0856,Healthy engagement and on-time payment behavior,"Focus on education, low-risk engagement, and repayment health.",Scale for low-risk customers; Test moderate-risk or uncertain groups.,0.07,0.78,630,No,Yes,Yes
CMP090,Student Essentials Cashback,New-to-Credit and Student,Early Relationship,Build healthy early card behavior and engagement.,Reward small everyday purchases for student-like profiles.,Everyday Spend,Underused Low-Risk Customer; Core Customer,Risk Watch; High-Utilization Revolver,Medium,Medium,4.22,0.0432,0.08,Healthy engagement and on-time payment behavior,"Focus on education, low-risk engagement, and repayment health.",Scale for low-risk customers; Test moderate-risk or uncertain groups.,0.07,0.78,630,No,Yes,Yes
CMP091,Credit Education Journey,New-to-Credit and Student,Early Relationship,Build healthy early card behavior and engagement.,Encourage education around credit use and payments.,Education,Underused Low-Risk Customer; Core Customer,Risk Watch; High-Utilization Revolver,Medium,Medium,4.33,0.0448,0.0828,Healthy engagement and on-time payment behavior,"Focus on education, low-risk engagement, and repayment health.",Scale for low-risk customers; Test moderate-risk or uncertain groups.,0.07,0.78,630,No,Yes,Yes
CMP092,Small Spend Starter Challenge,New-to-Credit and Student,Early Relationship,Build healthy early card behavior and engagement.,Encourage low-risk card usage through small purchase goals.,Everyday Spend,Underused Low-Risk Customer; Core Customer,Risk Watch; High-Utilization Revolver,Medium,Medium,4.44,0.04,0.0856,Healthy engagement and on-time payment behavior,"Focus on education, low-risk engagement, and repayment health.",Scale for low-risk customers; Test moderate-risk or uncertain groups.,0.07,0.78,630,No,Yes,Yes
CMP093,On-Time Payment Reward,New-to-Credit and Student,Early Relationship,Build healthy early card behavior and engagement.,Reward consistent on-time payment behavior.,Servicing,Underused Low-Risk Customer; Core Customer,Risk Watch; High-Utilization Revolver,Medium,Medium,4.56,0.0416,0.08,Healthy engagement and on-time payment behavior,"Focus on education, low-risk engagement, and repayment health.",Scale for low-risk customers; Test moderate-risk or uncertain groups.,0.07,0.78,630,No,Yes,Yes
CMP094,Digital Wallet Starter,New-to-Credit and Student,Early Relationship,Build healthy early card behavior and engagement.,Encourage safe digital wallet usage.,Digital,Underused Low-Risk Customer; Core Customer,Risk Watch; High-Utilization Revolver,Medium,Medium,4.67,0.0432,0.0828,Healthy engagement and on-time payment behavior,"Focus on education, low-risk engagement, and repayment health.",Scale for low-risk customers; Test moderate-risk or uncertain groups.,0.07,0.78,630,No,Yes,Yes
CMP095,First Autopay Setup,New-to-Credit and Student,Early Relationship,Build healthy early card behavior and engagement.,Encourage early autopay enrollment.,Servicing,Underused Low-Risk Customer; Core Customer,Risk Watch; High-Utilization Revolver,Medium,Medium,4.78,0.0448,0.0856,Healthy engagement and on-time payment behavior,"Focus on education, low-risk engagement, and repayment health.",Scale for low-risk customers; Test moderate-risk or uncertain groups.,0.07,0.78,630,No,Yes,Yes
CMP096,Responsible Credit Builder,New-to-Credit and Student,Early Relationship,Build healthy early card behavior and engagement.,Encourage low utilization and on-time payments.,Education,Underused Low-Risk Customer; Core Customer,Risk Watch; High-Utilization Revolver,Medium,Medium,4.89,0.04,0.08,Healthy engagement and on-time payment behavior,"Focus on education, low-risk engagement, and repayment health.",Scale for low-risk customers; Test moderate-risk or uncertain groups.,0.07,0.78,630,No,Yes,Yes
