dashboard_recommendation_rank,model_score_rank,campaign_id,campaign_name,campaign_family,campaign_type,risk_level,recommended_rollout_decision,campaign_score,eligible_customers,scale_customers,test_customers,blocked_customers,eligible_rate,scale_rate,test_rate,block_rate,avg_predicted_response_rate,expected_incremental_spend,expected_campaign_cost,expected_campaign_profit,expected_campaign_roi,campaign_horizon_months,cost_per_customer,expected_lift_pct,response_rate_assumption,business_goal,offer_description,target_segments,excluded_segments,primary_success_metric,guardrail_notes,risk_sensitivity,customer_count,target_segment_customers,do_not_launch_customers
50,50,CMP005,Utility Bill Pay Booster,Everyday Spend,Category Cashback,Low,Do Not Launch,0.7236954947007899,6600,0,0,2038,0.66,0.0,0.0,0.2038,0.11887977272727272,45595.4213990574,3970.1088899999995,-3769.449234760594,-0.9494573925302574,3,5.06,0.0624,0.09,Increase everyday card spend in routine categories.,Earn bonus rewards for paying utilities with the card.,Core Customer; Underused Low-Risk Customer; Loyal High-Value Customer,Risk Watch,Incremental category spend,Exclude very high risk customers and customers with recent delinquency.,Low,10000,7696,7962
51,51,CMP063,Selective Line Growth Test,Credit Line Strategy,Credit Line Review,High,Constrain,-0.3887545249878279,1056,994,56,8191,0.1056,0.0994,0.0056,0.8191,0.05707477272727273,92970.3130397229,576.1903776,1073.380555266764,1.8628921915317387,6,9.56,0.1232,0.0428,Increase card usage capacity for strong customers while managing risk exposure.,Small test of line increase review among safest customers.,Loyal High-Value Customer; Premium Growth Candidate; Underused Low-Risk Customer,Risk Watch; High-Utilization Revolver,Spend lift without risk deterioration,"Require strong credit profile, stable utilization, low default probability, and no recent late payments.",Very High,10000,4267,759
52,52,CMP062,Low-Risk Spend Capacity Offer,Credit Line Strategy,Credit Line Review,High,Constrain,-0.7968533707412746,1056,988,62,8191,0.1056,0.0988,0.0062,0.8191,0.055207840909090915,86717.46988968813,544.5171432000001,994.1096832005915,1.8256719657317693,6,9.34,0.1188,0.0414,Increase card usage capacity for strong customers while managing risk exposure.,Invite low-risk high-spend customers for capacity review.,Loyal High-Value Customer; Premium Growth Candidate; Underused Low-Risk Customer,Risk Watch; High-Utilization Revolver,Spend lift without risk deterioration,"Require strong credit profile, stable utilization, low default probability, and no recent late payments.",Very High,10000,4267,759
53,53,CMP061,Income-Supported Line Review,Credit Line Strategy,Credit Line Review,High,Constrain,-1.1943398030182593,1056,981,69,8191,0.1056,0.0981,0.0069,0.8191,0.053340909090909105,80681.84709722281,513.1480799999999,918.3887776280328,1.7897149252278854,6,9.11,0.1144,0.04,Increase card usage capacity for strong customers while managing risk exposure.,Review customers with strong income and repayment profile.,Loyal High-Value Customer; Premium Growth Candidate; Underused Low-Risk Customer,Risk Watch; High-Utilization Revolver,Spend lift without risk deterioration,"Require strong credit profile, stable utilization, low default probability, and no recent late payments.",Very High,10000,4267,759
54,54,CMP060,High-Score Line Review,Credit Line Strategy,Credit Line Review,High,Constrain,-1.451831273504343,1056,978,72,8191,0.1056,0.0978,0.0072,0.8191,0.05707477272727273,83009.20807118117,535.8088344,937.0223556596106,1.7487997500244474,6,8.89,0.11,0.0428,Increase card usage capacity for strong customers while managing risk exposure.,Review strong credit score customers for line growth.,Loyal High-Value Customer; Premium Growth Candidate; Underused Low-Risk Customer,Risk Watch; High-Utilization Revolver,Spend lift without risk deterioration,"Require strong credit profile, stable utilization, low default probability, and no recent late payments.",Very High,10000,4267,759
55,55,CMP009,Dining Rewards Accelerator,Dining and Entertainment,Lifestyle Rewards,Low-Medium,Do Not Launch,-2.761900665322832,5887,42,265,3319,0.5887,0.0042,0.0265,0.3319,0.09905738109393576,104359.51100444687,4257.0008582499995,-3274.8921162928027,-0.7692956204004785,3,7.3,0.0832,0.0749,"Increase dining, entertainment, and lifestyle spend.",Earn bonus rewards after meeting a dining spend threshold.,Core Customer; Loyal High-Value Customer; Premium Growth Candidate,Risk Watch,Incremental lifestyle spend,Prioritize positive ROI customers with acceptable utilization.,Medium,10000,8396,6374
56,56,CMP011,Food Delivery Booster,Dining and Entertainment,Lifestyle Rewards,Low-Medium,Do Not Launch,-2.810728578449158,5887,44,271,3319,0.5887,0.0044,0.0271,0.3319,0.09588331280788176,108785.97480693599,4346.38098125,-3322.6155780595354,-0.764455668380908,3,7.7,0.0896,0.0725,"Increase dining, entertainment, and lifestyle spend.",Earn rewards on food delivery purchases.,Core Customer; Loyal High-Value Customer; Premium Growth Candidate,Risk Watch,Incremental lifestyle spend,Prioritize positive ROI customers with acceptable utilization.,Medium,10000,8396,6366
57,57,CMP010,Coffee Shop Rewards,Dining and Entertainment,Lifestyle Rewards,Low-Medium,Do Not Launch,-2.9027833465234227,5887,42,282,3319,0.5887,0.0042,0.0282,0.3319,0.09257699167657552,101283.49378576802,4087.5056250000007,-3134.344732374396,-0.7668111116970989,3,7.5,0.0864,0.07,"Increase dining, entertainment, and lifestyle spend.",Earn cashback at coffee shops and cafes.,Core Customer; Loyal High-Value Customer; Premium Growth Candidate,Risk Watch,Incremental lifestyle spend,Prioritize positive ROI customers with acceptable utilization.,Medium,10000,8396,6357
58,58,CMP015,Family Dining Bonus,Dining and Entertainment,Lifestyle Rewards,Low-Medium,Do Not Launch,-3.0838902686639376,5887,32,180,3319,0.5887,0.0032,0.018,0.3319,0.09905738109393576,112387.16569709661,4956.78182125,-3899.1262529884025,-0.7866245466509402,3,8.5,0.0896,0.0749,"Increase dining, entertainment, and lifestyle spend.",Earn rewards on family dining and casual restaurants.,Core Customer; Loyal High-Value Customer; Premium Growth Candidate,Risk Watch,Incremental lifestyle spend,Prioritize positive ROI customers with acceptable utilization.,Medium,10000,8396,6469
59,59,CMP014,Restaurant Partner Offer,Dining and Entertainment,Lifestyle Rewards,Low-Medium,Do Not Launch,-3.1811171660876916,5887,28,186,3319,0.5887,0.0028,0.0186,0.3319,0.09588331280788176,104900.76142097401,4685.06001875,-3697.857665673481,-0.7892871491238845,3,8.3,0.0864,0.0725,"Increase dining, entertainment, and lifestyle spend.",Earn merchant-funded rewards at selected restaurants.,Core Customer; Loyal High-Value Customer; Premium Growth Candidate,Risk Watch,Incremental lifestyle spend,Prioritize positive ROI customers with acceptable utilization.,Medium,10000,8396,6467
60,60,CMP013,Weekend Dining Challenge,Dining and Entertainment,Lifestyle Rewards,Low-Medium,Do Not Launch,-3.2791023226581606,5887,27,190,3319,0.5887,0.0027,0.019,0.3319,0.09257699167657552,97532.25327518402,4414.506075,-3496.647437656825,-0.7920812381387027,3,8.1,0.0832,0.07,"Increase dining, entertainment, and lifestyle spend.",Spend a set amount on dining over weekends to earn a bonus.,Core Customer; Loyal High-Value Customer; Premium Growth Candidate,Risk Watch,Incremental lifestyle spend,Prioritize positive ROI customers with acceptable utilization.,Medium,10000,8396,6464
61,61,CMP012,Movie and Events Offer,Dining and Entertainment,Lifestyle Rewards,Low-Medium,Do Not Launch,-3.611748282428179,5887,0,19,3319,0.5887,0.0,0.0019,0.3319,0.09905738109393576,86010.7076862541,4606.89133975,-3801.639868227293,-0.8252071924130936,3,7.9,0.08,0.0749,"Increase dining, entertainment, and lifestyle spend.","Earn rewards on movies, events, and entertainment.",Core Customer; Loyal High-Value Customer; Premium Growth Candidate,Risk Watch,Incremental lifestyle spend,Prioritize positive ROI customers with acceptable utilization.,Medium,10000,8396,6662
62,62,CMP064,Relationship-Based Line Review,Credit Line Strategy,Credit Line Review,High,Constrain,-3.9209344907939254,1056,924,121,8191,0.1056,0.0924,0.0121,0.8191,0.053340909090909105,77578.699131945,551.4511200000001,825.0266277192624,1.496101100890433,6,9.79,0.11,0.04,Increase card usage capacity for strong customers while managing risk exposure.,Review long-tenure profitable customers for capacity growth.,Loyal High-Value Customer; Premium Growth Candidate; Underused Low-Risk Customer,Risk Watch; High-Utilization Revolver,Spend lift without risk deterioration,"Require strong credit profile, stable utilization, low default probability, and no recent late payments.",Very High,10000,4267,764
63,63,CMP016,Entertainment Night Out,Dining and Entertainment,Lifestyle Rewards,Low-Medium,Do Not Launch,-3.9862279800801206,5887,0,4,3319,0.5887,0.0,0.0004,0.3319,0.09257699167657552,80383.83895911602,4741.506525000001,-3988.9350562871905,-0.8412800942601655,3,8.7,0.08,0.07,"Increase dining, entertainment, and lifestyle spend.",Earn rewards on entertainment and dining in the same period.,Core Customer; Loyal High-Value Customer; Premium Growth Candidate,Risk Watch,Incremental lifestyle spend,Prioritize positive ROI customers with acceptable utilization.,Medium,10000,8396,6677
64,64,CMP075,High-Value Spend Bonus,Retention and Loyalty,Retention,Low-Medium,Do Not Launch,-6.333977193904467,2969,61,254,3319,0.2969,0.0061,0.0254,0.3319,0.08249270714045134,157908.20020522646,3536.6570379,-1942.0949101402418,-0.5491329493722753,6,14.44,0.0896,0.0621,Retain and deepen relationships with profitable high-value customers.,Offer bonus rewards after reaching a spend threshold.,Loyal High-Value Customer; Premium Growth Candidate,Risk Watch,Retention and spend stability,Prioritize positive risk-adjusted profit and strong engagement.,Medium,10000,4183,6366
65,65,CMP073,Premium Retention Campaign,Retention and Loyalty,Retention,Low-Medium,Do Not Launch,-6.3504963173314675,2969,55,247,3319,0.2969,0.0055,0.0247,0.3319,0.08528231559447623,151587.51310246374,3466.35173955,-1935.616115178831,-0.5584015300853779,6,13.69,0.0832,0.0642,Retain and deepen relationships with profitable high-value customers.,Provide bonus rewards or statement credit for selected high-value customers.,Loyal High-Value Customer; Premium Growth Candidate,Risk Watch,Retention and spend stability,Prioritize positive risk-adjusted profit and strong engagement.,Medium,10000,4183,6379
66,66,CMP074,Anniversary Loyalty Bonus,Retention and Loyalty,Retention,Low-Medium,Do Not Launch,-6.445061623379184,2969,57,263,3319,0.2969,0.0057,0.0263,0.3319,0.07970309868642639,147119.4411849936,3327.1373100000005,-1841.5204207828342,-0.553484947930458,6,14.06,0.0864,0.06,Retain and deepen relationships with profitable high-value customers.,Offer bonus rewards around relationship anniversary.,Loyal High-Value Customer; Premium Growth Candidate,Risk Watch,Retention and spend stability,Prioritize positive risk-adjusted profit and strong engagement.,Medium,10000,4183,6361
67,67,CMP079,Card Upgrade Interest Test,Retention and Loyalty,Retention,Low-Medium,Do Not Launch,-6.795424893008915,2969,44,162,3319,0.2969,0.0044,0.0162,0.3319,0.08528231559447623,163248.0910334225,4036.0589282999995,-2387.574409746433,-0.5915608399583221,6,15.94,0.0896,0.0642,Retain and deepen relationships with profitable high-value customers.,Test interest in premium card upgrade pathways.,Loyal High-Value Customer; Premium Growth Candidate,Risk Watch,Retention and spend stability,Prioritize positive risk-adjusted profit and strong engagement.,Medium,10000,4183,6475
68,68,CMP078,High-Value Merchant Perk,Retention and Loyalty,Retention,Low-Medium,Do Not Launch,-6.91555327195412,2969,41,162,3319,0.2969,0.0041,0.0162,0.3319,0.08249270714045134,152268.62162646838,3810.9683871,-2273.3549067602335,-0.5965294580914036,6,15.56,0.0864,0.0621,Retain and deepen relationships with profitable high-value customers.,Offer selected high-value merchant benefits.,Loyal High-Value Customer; Premium Growth Candidate,Risk Watch,Retention and spend stability,Prioritize positive risk-adjusted profit and strong engagement.,Medium,10000,4183,6478
69,69,CMP076,Premium Experience Benefit,Retention and Loyalty,Retention,Low-Medium,Do Not Launch,-6.9599663113982615,2969,33,146,3319,0.2969,0.0033,0.0146,0.3319,0.08528231559447623,145757.22413698438,3749.93931795,-2278.07814067003,-0.6074973346276439,6,14.81,0.08,0.0642,Retain and deepen relationships with profitable high-value customers.,Offer experience benefits to premium customers.,Loyal High-Value Customer; Premium Growth Candidate,Risk Watch,Retention and spend stability,Prioritize positive risk-adjusted profit and strong engagement.,Medium,10000,4183,6502
70,70,CMP077,Relationship Deepening Offer,Retention and Loyalty,Retention,Low-Medium,Do Not Launch,-7.043281276442268,2969,36,164,3319,0.2969,0.0036,0.0164,0.3319,0.07970309868642639,141670.5729929568,3594.538815,-2163.944773531618,-0.6020090155937342,6,15.19,0.0832,0.06,Retain and deepen relationships with profitable high-value customers.,Encourage multi-category card engagement.,Loyal High-Value Customer; Premium Growth Candidate,Risk Watch,Retention and spend stability,Prioritize positive risk-adjusted profit and strong engagement.,Medium,10000,4183,6481
71,71,CMP080,Loyalty Statement Credit,Retention and Loyalty,Retention,Low-Medium,Do Not Launch,-7.554762975722601,2969,19,85,3319,0.2969,0.0019,0.0085,0.3319,0.07970309868642639,136221.70480091998,3859.573935,-2484.0027412804016,-0.6435950659617048,6,16.31,0.08,0.06,Retain and deepen relationships with profitable high-value customers.,Offer statement credit to selected profitable customers.,Loyal High-Value Customer; Premium Growth Candidate,Risk Watch,Retention and spend stability,Prioritize positive risk-adjusted profit and strong engagement.,Medium,10000,4183,6577
72,72,CMP090,Student Essentials Cashback,New-to-Credit and Student,Early Relationship,Medium,Do Not Launch,-8.83836380571189,2980,0,85,3451,0.298,0.0,0.0085,0.3451,0.10534362416107383,40633.80866404416,1324.7592800000002,-1122.7379479173803,-0.8475033652282701,6,4.22,0.0432,0.08,Build healthy early card behavior and engagement.,Reward small everyday purchases for student-like profiles.,Underused Low-Risk Customer; Core Customer,Risk Watch; High-Utilization Revolver,Healthy engagement and on-time payment behavior,"Focus on education, low-risk engagement, and repayment health.",Medium,10000,4297,6464
73,73,CMP092,Small Spend Starter Challenge,New-to-Credit and Student,Early Relationship,Medium,Do Not Launch,-8.849237126214009,2980,0,27,3451,0.298,0.0,0.0027,0.3451,0.112717677852349,40257.56969493264,1491.3901392000002,-1291.2393750070346,-0.865795837767622,6,4.44,0.04,0.0856,Build healthy early card behavior and engagement.,Encourage low-risk card usage through small purchase goals.,Underused Low-Risk Customer; Core Customer,Risk Watch; High-Utilization Revolver,Healthy engagement and on-time payment behavior,"Focus on education, low-risk engagement, and repayment health.",Medium,10000,4297,6522
74,74,CMP089,First Year Engagement Offer,New-to-Credit and Student,Early Relationship,Medium,Do Not Launch,-9.628827813304966,2980,0,0,3451,0.298,0.0,0.0,0.3451,0.112717677852349,13955.957494243314,1380.5435748000002,-1311.1579765464385,-0.94974037797857,6,4.11,0.0416,0.0856,Build healthy early card behavior and engagement.,Encourage healthy spend habits in the first year.,Underused Low-Risk Customer; Core Customer,Risk Watch; High-Utilization Revolver,Healthy engagement and on-time payment behavior,"Focus on education, low-risk engagement, and repayment health.",Medium,10000,4297,6549
75,75,CMP095,First Autopay Setup,New-to-Credit and Student,Early Relationship,Medium,Do Not Launch,-9.689777004882915,2980,0,0,3451,0.298,0.0,0.0,0.3451,0.112717677852349,15029.492686108186,1605.5956904000002,-1530.8727384346262,-0.9534609164610062,6,4.78,0.0448,0.0856,Build healthy early card behavior and engagement.,Encourage early autopay enrollment.,Underused Low-Risk Customer; Core Customer,Risk Watch; High-Utilization Revolver,Healthy engagement and on-time payment behavior,"Focus on education, low-risk engagement, and repayment health.",Medium,10000,4297,6549
76,76,CMP091,Credit Education Journey,New-to-Credit and Student,Early Relationship,Medium,Do Not Launch,-9.732322510025172,2980,0,0,3451,0.298,0.0,0.0,0.3451,0.1090306510067114,14537.873766469133,1406.8661022000001,-1334.5873589437738,-0.948624291150949,6,4.33,0.0448,0.0828,Build healthy early card behavior and engagement.,Encourage education around credit use and payments.,Underused Low-Risk Customer; Core Customer,Risk Watch; High-Utilization Revolver,Healthy engagement and on-time payment behavior,"Focus on education, low-risk engagement, and repayment health.",Medium,10000,4297,6549
77,77,CMP094,Digital Wallet Starter,New-to-Credit and Student,Early Relationship,Medium,Do Not Launch,-9.795428999885923,2980,0,0,3451,0.298,0.0,0.0,0.3451,0.1090306510067114,14018.663989095236,1517.3359578,-1447.638598231496,-0.954065967256481,6,4.67,0.0432,0.0828,Build healthy early card behavior and engagement.,Encourage safe digital wallet usage.,Underused Low-Risk Customer; Core Customer,Risk Watch; High-Utilization Revolver,Healthy engagement and on-time payment behavior,"Focus on education, low-risk engagement, and repayment health.",Medium,10000,4297,6549
78,78,CMP093,On-Time Payment Reward,New-to-Credit and Student,Early Relationship,Medium,Do Not Launch,-9.901624042871237,2980,0,0,3451,0.298,0.0,0.0,0.3451,0.10534362416107383,13042.95092919936,1431.4934400000002,-1366.6470864919986,-0.9547002090991059,6,4.56,0.0416,0.08,Build healthy early card behavior and engagement.,Reward consistent on-time payment behavior.,Underused Low-Risk Customer; Core Customer,Risk Watch; High-Utilization Revolver,Healthy engagement and on-time payment behavior,"Focus on education, low-risk engagement, and repayment health.",Medium,10000,4297,6549
79,79,CMP096,Responsible Credit Builder,New-to-Credit and Student,Early Relationship,Medium,Do Not Launch,-9.957021029434253,2980,0,0,3451,0.298,0.0,0.0,0.3451,0.10534362416107383,12541.298970384001,1535.0883600000002,-1472.7360970115374,-0.9593819713488917,6,4.89,0.04,0.08,Build healthy early card behavior and engagement.,Encourage low utilization and on-time payments.,Underused Low-Risk Customer; Core Customer,Risk Watch; High-Utilization Revolver,Healthy engagement and on-time payment behavior,"Focus on education, low-risk engagement, and repayment health.",Medium,10000,4297,6549
80,80,CMP017,Travel Spend Accelerator,Travel and Premium,Travel Rewards,Medium,Do Not Launch,-10.90647687312017,2969,15,86,3919,0.2969,0.0015,0.0086,0.3919,0.07106859632873022,43789.292974752,2310.4791543750002,-1867.6074923861283,-0.8083204251593122,4,10.95,0.104,0.0535,Increase travel spend and deepen premium customer engagement.,"Earn bonus points on flights, hotels, and travel bookings.",Loyal High-Value Customer; Premium Growth Candidate,Risk Watch; Dormant but Recoverable,Incremental travel spend,Avoid high default probability and high-utilization customers unless risk-adjusted profit is strong.,Medium,10000,4183,5980
81,81,CMP019,Airfare Bonus Offer,Travel and Premium,Travel Rewards,Medium,Do Not Launch,-10.94374164384935,2969,15,88,3919,0.2969,0.0015,0.0088,0.3919,0.06867750336813744,45571.085916787204,2355.0855116250004,-1894.1933348492341,-0.8042991753374796,4,11.55,0.112,0.0517,Increase travel spend and deepen premium customer engagement.,Earn rewards on airline purchases.,Loyal High-Value Customer; Premium Growth Candidate,Risk Watch; Dormant but Recoverable,Incremental travel spend,Avoid high default probability and high-utilization customers unless risk-adjusted profit is strong.,Medium,10000,4183,5978
82,82,CMP018,Hotel Rewards Booster,Travel and Premium,Travel Rewards,Medium,Do Not Launch,-11.010311685759254,2969,15,95,3919,0.2969,0.0015,0.0095,0.3919,0.06641924890535536,42498.59490720001,2218.4859374999996,-1788.668005303755,-0.806256183584105,4,11.25,0.108,0.05,Increase travel spend and deepen premium customer engagement.,Earn bonus rewards on hotel purchases.,Loyal High-Value Customer; Premium Growth Candidate,Risk Watch; Dormant but Recoverable,Incremental travel spend,Avoid high default probability and high-utilization customers unless risk-adjusted profit is strong.,Medium,10000,4183,5971
83,83,CMP023,International Travel Booster,Travel and Premium,Travel Rewards,Medium,Do Not Launch,-11.11087295272327,2969,12,54,3919,0.2969,0.0012,0.0054,0.3919,0.07106859632873022,47157.70012665601,2690.2839468750003,-2213.3452339639075,-0.8227180764821874,4,12.75,0.112,0.0535,Increase travel spend and deepen premium customer engagement.,Earn rewards on international travel purchases.,Loyal High-Value Customer; Premium Growth Candidate,Risk Watch; Dormant but Recoverable,Incremental travel spend,Avoid high default probability and high-utilization customers unless risk-adjusted profit is strong.,Medium,10000,4183,6015
84,84,CMP020,Rental Car Rewards,Travel and Premium,Travel Rewards,Medium,Do Not Launch,-11.163876679179559,2969,9,52,3919,0.2969,0.0009,0.0052,0.3919,0.07106859632873022,42105.0893988,2500.3815506250003,-2074.543414097239,-0.8296907380310344,4,11.85,0.1,0.0535,Increase travel spend and deepen premium customer engagement.,Earn rewards on rental car purchases.,Loyal High-Value Customer; Premium Growth Candidate,Risk Watch; Dormant but Recoverable,Incremental travel spend,Avoid high default probability and high-utilization customers unless risk-adjusted profit is strong.,Medium,10000,4183,6020
85,85,CMP022,Premium Trip Planning Offer,Travel and Premium,Travel Rewards,Medium,Do Not Launch,-11.187218342107002,2969,11,57,3919,0.2969,0.0011,0.0057,0.3919,0.06867750336813744,43943.547134044806,2538.598668375,-2094.166926484083,-0.8249302863711792,4,12.45,0.108,0.0517,Increase travel spend and deepen premium customer engagement.,Earn travel credits after meeting a trip spend threshold.,Loyal High-Value Customer; Premium Growth Candidate,Risk Watch; Dormant but Recoverable,Incremental travel spend,Avoid high default probability and high-utilization customers unless risk-adjusted profit is strong.,Medium,10000,4183,6013
86,86,CMP021,Travel Portal Bonus,Travel and Premium,Travel Rewards,Medium,Do Not Launch,-11.263446461448195,2969,9,60,3919,0.2969,0.0009,0.006,0.3919,0.06641924890535536,40924.5728736,2395.9648125000003,-1982.0660629776903,-0.8272517411929604,4,12.15,0.104,0.05,Increase travel spend and deepen premium customer engagement.,Earn extra rewards when booking through a travel portal.,Loyal High-Value Customer; Premium Growth Candidate,Risk Watch; Dormant but Recoverable,Incremental travel spend,Avoid high default probability and high-utilization customers unless risk-adjusted profit is strong.,Medium,10000,4183,6012
87,87,CMP024,Weekend Getaway Rewards,Travel and Premium,Travel Rewards,Medium,Do Not Launch,-11.47211778631235,2969,5,43,3919,0.2969,0.0005,0.0043,0.3919,0.06641924890535536,39350.55084,2573.4436875,-2175.464120651625,-0.8453513598212841,4,13.05,0.1,0.05,Increase travel spend and deepen premium customer engagement.,Earn bonus rewards on short-stay travel purchases.,Loyal High-Value Customer; Premium Growth Candidate,Risk Watch; Dormant but Recoverable,Incremental travel spend,Avoid high default probability and high-utilization customers unless risk-adjusted profit is strong.,Medium,10000,4183,6033
88,88,CMP043,Dormant Grocery Restart,Dormant Reactivation,Reactivation,Low-Medium,Do Not Launch,-14.248784107857299,662,0,1,3319,0.0662,0.0,0.0001,0.3319,0.08154377265861028,2985.6553585488,363.83852835000005,-345.69050408827275,-0.9501206638449529,4,6.74,0.0784,0.0621,Reactivate customers with low recent card usage.,Earn grocery rewards after returning to card usage.,Dormant but Recoverable; Underused Low-Risk Customer,Risk Watch,Reactivation rate,Do not push additional spend to dormant customers with elevated risk or negative risk-adjusted profit.,Medium,10000,888,6680
89,89,CMP041,Three Purchase Reactivation,Dormant Reactivation,Reactivation,Low-Medium,Do Not Launch,-14.30133249966303,662,0,0,3319,0.0662,0.0,0.0,0.3319,0.08430129154078549,2034.8342614113694,356.60963745,-344.15807650208234,-0.9650834984804261,4,6.39,0.0728,0.0642,Reactivate customers with low recent card usage.,Use the card three times in 30 days to earn bonus rewards.,Dormant but Recoverable; Underused Low-Risk Customer,Risk Watch,Reactivation rate,Do not push additional spend to dormant customers with elevated risk or negative risk-adjusted profit.,Medium,10000,888,6681
90,90,CMP046,Dormant Merchant Comeback,Dormant Reactivation,Reactivation,Low-Medium,Do Not Launch,-14.41548329108792,662,0,0,3319,0.0662,0.0,0.0,0.3319,0.08154377265861028,2043.9771184450296,391.90915664999994,-379.4016487172337,-0.968085696084064,4,7.26,0.0756,0.0621,Reactivate customers with low recent card usage.,Earn rewards at selected merchants after inactivity.,Dormant but Recoverable; Underused Low-Risk Customer,Risk Watch,Reactivation rate,Do not push additional spend to dormant customers with elevated risk or negative risk-adjusted profit.,Medium,10000,888,6681
91,91,CMP042,First Purchase Back Offer,Dormant Reactivation,Reactivation,Low-Medium,Do Not Launch,-14.461392005148461,662,0,0,3319,0.0662,0.0,0.0,0.3319,0.07878625377643504,1974.85711927056,342.14664,-330.0620912726895,-0.9646802063369364,4,6.56,0.0756,0.06,Reactivate customers with low recent card usage.,Earn cashback after the first purchase in the campaign period.,Dormant but Recoverable; Underused Low-Risk Customer,Risk Watch,Reactivation rate,Do not push additional spend to dormant customers with elevated risk or negative risk-adjusted profit.,Medium,10000,888,6681
92,92,CMP047,Dormant Bill Pay Restart,Dormant Reactivation,Reactivation,Low-Medium,Do Not Launch,-14.462052991097629,662,0,0,3319,0.0662,0.0,0.0,0.3319,0.08430129154078549,1217.422207682016,415.2074652,-407.75781335081854,-0.9820580011835937,4,7.44,0.0784,0.0642,Reactivate customers with low recent card usage.,Use the card for bill pay to earn bonus rewards.,Dormant but Recoverable; Underused Low-Risk Customer,Risk Watch,Reactivation rate,Do not push additional spend to dormant customers with elevated risk or negative risk-adjusted profit.,Medium,10000,888,6681
93,93,CMP045,Dormant Small Spend Challenge,Dormant Reactivation,Reactivation,Low-Medium,Do Not Launch,-14.499558895892921,662,0,0,3319,0.0662,0.0,0.0,0.3319,0.07878625377643504,1901.71426300128,369.789585,-358.1526121514788,-0.9685308258518931,4,7.09,0.0728,0.06,Reactivate customers with low recent card usage.,Make a small number of purchases to earn a reward.,Dormant but Recoverable; Underused Low-Risk Customer,Risk Watch,Reactivation rate,Do not push additional spend to dormant customers with elevated risk or negative risk-adjusted profit.,Medium,10000,888,6681
94,94,CMP044,Dormant Digital Restart,Dormant Reactivation,Reactivation,Low-Medium,Do Not Launch,-14.52712496389805,662,0,0,3319,0.0662,0.0,0.0,0.3319,0.08430129154078549,652.19046840108,385.6295140499999,-381.6386291307956,-0.9896509868311406,4,6.91,0.07,0.0642,Reactivate customers with low recent card usage.,Reactivate through app login and card use.,Dormant but Recoverable; Underused Low-Risk Customer,Risk Watch,Reactivation rate,Do not push additional spend to dormant customers with elevated risk or negative risk-adjusted profit.,Medium,10000,888,6681
95,95,CMP048,Dormant Everyday Spend Restart,Dormant Reactivation,Reactivation,Low-Medium,Do Not Launch,-14.532506769712814,662,0,0,3319,0.0662,0.0,0.0,0.3319,0.07878625377643504,1828.5714067320002,396.91096500000003,-385.7215680302681,-0.9718087985557871,4,7.61,0.07,0.06,Reactivate customers with low recent card usage.,Earn bonus rewards after returning to everyday spend.,Dormant but Recoverable; Underused Low-Risk Customer,Risk Watch,Reactivation rate,Do not push additional spend to dormant customers with elevated risk or negative risk-adjusted profit.,Medium,10000,888,6681
96,96,CMP053,APR Education and Planning,Balance and Revolver,Balance Transfer / Revolver,High,Constrain,-20.034189426882197,2442,0,10,6862,0.2442,0.0,0.001,0.6862,0.052919533169533184,20426.519026742397,1831.1820150000003,-1351.5807605944037,-0.7380919807659881,6,14.17,0.1248,0.04,Grow balance-related revenue while controlling repayment risk.,Provide APR and repayment education before promotional use.,Core Customer; Loyal High-Value Customer; High-Utilization Revolver,Risk Watch,Risk-adjusted balance growth,"Strict default probability, late payment, utilization, and profitability guardrails required.",High,10000,8143,3128
